evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
35 km al SO de Mina Collahuasi,-21.093 ,-68.842,2023-05-04,17:49:50,2023-05-04,21:49:50,110,km,2.7,Ml
58 km al S de Tierra Amarilla,-27.987 ,-70.125,2023-05-04,15:43:36,2023-05-04,19:43:36,55,km,2.8,Ml
59 km al O de Navidad,-33.808 ,-72.451,2023-05-04,14:56:18,2023-05-04,18:56:18,43,km,3.2,Ml
9 km al O de ChillÃ¡n,-36.633 ,-72.196,2023-05-04,14:48:38,2023-05-04,18:48:38,60,km,2.8,Ml
87 km al NO de Taltal,-24.683 ,-70.799,2023-05-04,13:02:17,2023-05-04,17:02:17,23,km,3.1,Ml
50 km al N de Calama,-22.028 ,-68.828,2023-05-04,12:50:42,2023-05-04,16:50:42,95,km,2.8,Ml
13 km al NO de La Serena,-29.843 ,-71.369,2023-05-04,12:02:32,2023-05-04,16:02:32,54,km,2.9,Ml
55 km al S de Mina Collahuasi,-21.304 ,-68.790,2023-05-04,10:57:17,2023-05-04,14:57:17,108,km,3.5,Ml
46 km al O de Mina Collahuasi,-20.879 ,-69.094,2023-05-04,08:45:03,2023-05-04,12:45:03,110,km,2.8,Ml
19 km al S de Canela Baja,-31.571 ,-71.439,2023-05-04,07:01:33,2023-05-04,11:01:33,41,km,2.9,Ml
38 km al O de Arica,-18.346 ,-70.659,2023-05-04,06:13:55,2023-05-04,10:13:55,56,km,3.3,Ml
54 km al S de Putre,-18.663 ,-69.695,2023-05-04,04:51:13,2023-05-04,08:51:13,85,km,3.1,Ml
68 km al SO de OllagÃ¼e,-21.739 ,-68.606,2023-05-04,04:45:54,2023-05-04,08:45:54,118,km,3.2,Ml
23 km al SO de San JosÃ© de Maipo,-33.745 ,-70.569,2023-05-04,04:28:34,2023-05-04,08:28:34,88,km,4.0,Ml
21 km al NE de Calama,-22.350 ,-68.769,2023-05-04,02:59:19,2023-05-04,06:59:19,105,km,2.9,Ml
48 km al SO de Mina Collahuasi,-21.194 ,-68.899,2023-05-04,01:15:45,2023-05-04,05:15:45,114,km,3.0,Ml
28 km al O de Panguipulli,-39.581 ,-72.638,2023-05-04,00:48:36,2023-05-04,04:48:36,84,km,4.2,Ml
44 km al NE de Alto del Carmen,-28.424 ,-70.245,2023-05-04,00:02:45,2023-05-04,04:02:45,108,km,3.0,Ml
