evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
18 km al SE de Calama,-22.591 ,-68.818,2023-12-19,20:10:03,2023-12-19,23:10:03,103,km,2.5,Ml
10 km al NO de La Higuera,-29.467 ,-71.294,2023-12-19,19:30:17,2023-12-19,22:30:17,51,km,3.4,Ml
71 km al S de Socaire,-24.201 ,-68.099,2023-12-19,18:12:14,2023-12-19,21:12:14,274,km,3.7,Ml
36 km al N de CamiÃ±a,-19.007 ,-69.543,2023-12-19,17:44:23,2023-12-19,20:44:23,104,km,3.9,Ml
27 km al SE de Calama,-22.693 ,-68.824,2023-12-19,14:43:31,2023-12-19,17:43:31,102,km,3.6,Ml
24 km al O de Mina Collahuasi,-20.870 ,-68.880,2023-12-19,08:43:10,2023-12-19,11:43:10,105,km,2.6,Ml
90 km al E de Monte Patria,-30.782 ,-70.017,2023-12-19,08:18:46,2023-12-19,11:18:46,139,km,2.6,Ml
55 km al NE de Pozo Almonte,-19.793 ,-69.593,2023-12-19,08:05:17,2023-12-19,11:05:17,98,km,3.5,Ml
61 km al SO de Taltal,-25.667 ,-71.024,2023-12-19,06:48:43,2023-12-19,09:48:43,35,km,2.9,Ml
37 km al NO de ValparaÃ­so,-32.737 ,-71.745,2023-12-19,04:16:10,2023-12-19,07:16:10,31,km,3.1,Ml
22 km al O de Petorca,-32.168 ,-71.138,2023-12-19,04:07:45,2023-12-19,07:07:45,88,km,2.6,Ml
33 km al N de Farellones,-33.063 ,-70.223,2023-12-19,04:03:22,2023-12-19,07:03:22,105,km,2.6,Ml
72 km al E de Baquedano,-23.573 ,-69.184,2023-12-19,03:48:41,2023-12-19,06:48:41,102,km,3.2,Ml
44 km al SO de Taltal,-25.680 ,-70.809,2023-12-19,03:38:25,2023-12-19,06:38:25,48,km,3.1,Ml
32 km al S de Linares,-36.135 ,-71.582,2023-12-19,02:55:47,2023-12-19,05:55:47,86,km,2.8,Ml
35 km al NE de Socaire,-23.328 ,-67.697,2023-12-19,02:35:11,2023-12-19,05:35:11,287,km,3.4,Ml
44 km al S de Pica,-20.887 ,-69.289,2023-12-19,01:38:49,2023-12-19,04:38:49,79,km,2.9,Ml
16 km al SE de La Higuera,-29.617 ,-71.096,2023-12-18,23:53:42,2023-12-19,02:53:42,43,km,3.1,Ml
22 km al O de Mina Collahuasi,-20.888 ,-68.862,2023-12-18,23:41:19,2023-12-19,02:41:19,98,km,3.7,Ml
51 km al SO de OllagÃ¼e,-21.539 ,-68.617,2023-12-18,22:19:37,2023-12-19,01:19:37,127,km,2.5,Ml
96 km al NE de Socaire,-23.109 ,-67.114,2023-12-18,22:05:37,2023-12-19,01:05:37,233,km,2.8,Ml
11 km al NO de Tocopilla,-22.019 ,-70.264,2023-12-18,21:37:54,2023-12-19,00:37:54,36,km,3.0,Ml
